community,size,label,description
3,325,Cynical Techno-Intellectual Skeptics,"A mixed professional cluster spanning defense, agribusiness, pharma, tech, and media who engage with geopolitical, philosophical, and military-technical topics with a sardonic, often dismissive tone. They tend toward cynical critique of institutions and society, referencing Cold War doctrine, AI consciousness, and Ukraine's strategic vulnerabilities with above-average analytical depth but low deference to authority."
0,317,Cynical Geopolitical Realists,"This cluster consists of Ukrainian professionals and entrepreneurs who engage critically with geopolitics, European weakness, defense policy, and elite corruption, often drawing sweeping historical parallels and ideological arguments. Their tone is sardonic and confrontational, skewing anti-left and skeptical of international institutions, with occasional vulgarity and a pessimistic outlook on reform and Western reliability."
10,247,Cynical Civil Society Pragmatists,"A mixed cluster of Ukrainian volunteers, medical workers, military veterans, and civic activists who engage across health, geopolitics, technology, and war topics with a skeptical, often dismissive tone. They tend to challenge mainstream narratives, make crude jokes, and express frustration with both Ukrainian institutions and Western actors, reflecting disillusionment rather than ideological coherence."
1,218,Casual Mixed-Interest Engagers,"A diverse, loosely connected group of Ukrainian professionals, entrepreneurs, and specialists (health, tech, military, business) who engage sporadically across a wide range of topics without strong thematic focus. Their tone is inconsistent — ranging from playful and polite to dismissive and critical — with generally low ideological coherence and moderate civility."
6,185,Eclectic Analytical Discussants,"A diverse mix of Kyiv and Kharkiv-based professionals — spanning tech, psychology, pharma, and business — who engage across a wide range of topics including AI ethics, geopolitics, identity politics, and historical debate with moderate civility but uneven depth. Their discourse blends thoughtful analytical commentary with occasional conspiratorial or antisemitic tangents, source-sharing, and pop-culture references, suggesting an engaged but ideologically heterogeneous audience."
4,182,Casual Civic Professionals,"A mixed group of Ukrainian urban professionals — from medical and tech sectors to civil society — who engage sporadically and superficially with the page's content, often with brief praise, off-topic remarks, or low-substance reactions. Their discourse shows moderate civility but limited analytical depth, with occasional flashes of civic awareness or sarcasm rather than sustained policy engagement."
7,162,Tech-Savvy Ukrainian Civic Pragmatists,"A cluster of IT professionals, entrepreneurs, and civic-sector workers primarily based in Kyiv who engage analytically with defense spending, geopolitics, AI/technology limitations, and Ukrainian national identity. Their tone blends technical skepticism with nationalistic conviction, often sarcastic toward both foreign actors and domestic dysfunction, reflecting a pragmatic 'prove it or fix it' worldview."
2,154,Cynical Geopolitical Analysts,"A mixed professional group spanning medicine, business, startups, and military, united by analytical but often dismissive engagement with geopolitics, war strategy, and technology — particularly around Russia-Ukraine-China dynamics and AI. Their tone oscillates between substantive critical analysis and cynical, vulgar dismissiveness, with a slightly negative stance and moderate civility suggesting frustrated realists rather than ideological partisans."
13,113,Skeptical Ukrainian Civic Pragmatists,"A mixed urban professional and freelancer cohort from various Ukrainian cities who engage critically with defense, technology, and governance topics, often expressing skepticism toward official narratives, hype, and institutional competence. Their tone is cynical and questioning, frequently veering into off-topic tangents, conspiracy-adjacent reasoning, or pessimistic assessments of Ukraine's strategic outlook."
15,111,Tech-Savvy Ukrainian Diaspora Intellectuals,"A mixed cluster of Ukrainian professionals and diaspora members engaging across tech topics (local LLMs, hardware specs), geopolitics, and society with moderate civility but notable cynicism and pessimism about the war's resolution. They include founders, educators, and technically-literate individuals who oscillate between practical AI/software discussions and bleak or dismissive commentary on politics and conflict."
